order_id,cust_id,amt,order_date,region,is_member,email,product_code,quantity,discount
1001,C001,250.50,2024-12-01,East,TRUE,john.doe@email.com,PX-10,2,5
1002,C002,189.00,2024-12-02,West,FALSE,jane@company.com,PX-11,1,0
1003,C003,,2024-12-05,South,TRUE,customer@domain.com,PX-10,3,10
1004,C002,189.00,2024-12-02,West,FALSE,jane@company.com,PX-11,1,0
1005,C004,340.75,2024-12-09,North,TRUE,jay_92@mail.com,PX-15,2,15
1006,C005,220.00,2024-12-10,East,,sam@abc.com,PX-12,1,5
1007,C006,100.00,2024-12-11,South,FALSE,invalid_email,PX-13,1,0
1008,C007,199.99,INVALID_DATE,East,TRUE,mary@xyz.com,PX-10,2,0
1009,C008,500.00,2024-12-12,West,TRUE,martin@corp.org,PX-14,,20
1010,C009,400.00,2024-12-15,West,TRUE,jane@company.com,PX-11,2,0
